Billing Code,Category,Description,Charge $,Charge T,Charge P,Charge P1
C101,OTHER PREMIUMS,INTENSIVE OR CORONARY CARE UNIT PREMIUM;For each patient seen on a visit to ICU or CCU (subject to the exceptions set out below),9.1,,,
C983B,SURGICAL ASSISTANTS’ SERVICES,"SPECIAL VISIT PREMIUMS;Sacrifice of Office Hours; Saturdays, Sundays or Holidays, daytime and evenings
(07:00h -24:00h), first patient seen",85.6,,,
C985C,ANAESTHESIOLOGISTS’ SERVICES,"SPECIAL VISIT PREMIUMS;Evenings, Weekend/Holiday, Nights and Sacrifice of Office Hours;Saturdays, Sundays or Holidays daytime and evenings
(07:00h - 24:00h)",75,,,
C988B,SURGICAL ASSISTANTS’ SERVICES,"Special visit premium to assist at non-elective surgery with
        
sacrifice of office hours - first patient seen",76.4,,,
C998B,SURGICAL ASSISTANTS’ SERVICES,"SPECIAL VISIT PREMIUMS;Sacrifice of Office Hours; Evenings (17:00h - 24:00h) Monday to Friday, first patient seen",67.05,,,
C998C,ANAESTHESIOLOGISTS’ SERVICES,"SPECIAL VISIT PREMIUMS;Evenings, Weekend/Holiday, Nights and Sacrifice of Office Hours;Evenings (17:00h - 24:00h) Monday to Friday; or for nonelective surgery with sacrifice of office hours -
Weekdays",60,,,
C999B,SURGICAL ASSISTANTS’ SERVICES,"SPECIAL VISIT PREMIUMS;Sacrifice of Office Hours; Nights (00:00h - 07:00h), first patient seen",117.65,,,
C999C,ANAESTHESIOLOGISTS’ SERVICES,"SPECIAL VISIT PREMIUMS;Evenings, Weekend/Holiday, Nights and Sacrifice of Office Hours
;Nights (00:00h - 07:00h)",100,,,
E080,ASSESSMENTS,First visit after hospital discharge premium,25.25,,,
E082,Admission Assessments,"Admission assessment by the Most Responsible Physician (MRP) Premium, to admission assessment",add 30%,,,
E083,Visit,"Subsequent visit and palliative care visit by the MRP premium; Subsequent visit by the MRP, to subsequent visits and C122, C123, C124, C142, C143, C882 or C982",add 30%,,,
E084,Visit,"Subsequent visit and palliative care visit by the MRP premium; Saturday, Sunday or Holiday subsequent visit by the MRP, to subsequent visits and C122, C123, C124, C142, C143, C882 or C982",add 45%,,,
E400B,SURGICAL ASSISTANTS’ SERVICES,"Evenings (17:00h – 24:00h) Monday to Friday or daytime and         
evenings on Saturdays, Sundays or Holidays - increase the 	
total assistant’s fee by",add 50%,,,
E400C,ANAESTHESIOLOGISTS’ SERVICES,"AFTER HOURS PREMIUMS;Evenings (17:00h – 24:00h) Monday to Friday or daytime and evenings on Saturdays, Sundays or Holidays - increase the total anaesthetic fee by",add 50%,,,
E401B,SURGICAL ASSISTANTS’ SERVICES,Nights (00:00h – 07:00h) - increase the total assistant's fee by,add 75%,,,
E401C,ANAESTHESIOLOGISTS’ SERVICES,AFTER HOURS PREMIUMS;Nights (00:00h – 07:00h) - increase the total anaesthetic fee by,add 75%,,,
K101,Detention-in-Ambulance,"Ground ambulance transfer with patient per quarter hour or
 part thereof",42.1,,,
K111,Detention-in-Ambulance,"Air ambulance transfer with patient per quarter hour or part
 thereof",126.4,,,
K112,Detention-in-Ambulance,"Return trip without patient to place of origin following air or
 ground ambulance transfer, per half hour or major part
 thereof",25.05,,,
K102,DETENTION FOR THE TRANSPORT OF DONOR ORGANS,"Per quarter hour or part thereof (not eligible for payment with
 K001)",20.2,,,
,,,,,,
,,,,,,
Z903,EXTERNAL EAR,"EXCISION,Exostosis,Pre-auricular  sinus",62.95,,,
Z904,EXTERNAL EAR,"EXCISION,Local excision, polyp,office",25.85,,,
Z905,EXTERNAL EAR,"EXCISION,Local excision, polyp,hospital",50.9,,,
Z906,EXTERNAL EAR,"ENDOSCOPY,,Removal of drainage tube(s),under general anaesthetic, unilateral",66.5,,,
