Billing Code,Category,Sub Category,Sub Category 2,Description,Charge $(provider),Charge T,Charge P,Charge P1,Charge(H)
A001,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Minor assessment,23.75,,,,
A002,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Enhanced 18 month well baby visit,,,,,
A003,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,General assessment,87.35,,,,
A004,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,General re-assessment,38.35,,,,
A005,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Consultation,87.9,,,,
A006,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Repeat consultation,45.9,,,,
A007,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Intermediate assessment or well baby care,37.95,,,,
A008,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Mini assessment,13.05,,,,
A010,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,,GP focused practice consultation by Video,87.9,,,,
A011,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,,GP focused practice repeat consultation by Video,45.9,,,,
A013,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,Specific assessment,64.65,,,,
A014,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,Partial assessment,31.45,,,,
A015,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,Consultation,109.7,,,,
A016,CONSULTATIONS AND VISITS,ANAESTHESIA (01),,Repeat consultation,52.15,,,,
A020,CONSULTATIONS AND VISITS,DERMATOLOGY (02),,Complex dermatology assessment,60,,,,
A021,CONSULTATIONS AND VISITS,DERMATOLOGY (02),,Advanced Dermatology Consultation,164.9,,,,
A023,CONSULTATIONS AND VISITS,DERMATOLOGY (02),,Specific assessment,43,,,,
A024,CONSULTATIONS AND VISITS,DERMATOLOGY (02),,Partial assessment,21.9,,,,
