Billing Code,Category,Sub Category,Sub Category 2,Description,Provider Fee,Assistant Fee,Specialist Fee,Anaesthetist fee,Non- Anaesthetist fee,,,,,,,,,,,,,,,,
A001,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
A002,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
A003,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
A004,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
A005,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A006,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),Special palliative care consultation,,,,,,,,,,,,,,,,,,,,,,
A007,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,,,,,,,,,,,,,,,,,,,,,
A008,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),Mini assessment,,,,,,,,,,,,,,,,,,,,,,
A010,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,Focused practice consultation by Video,,,,,,,,,,,,,,,,,,,,,,
A011,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,Focused practice repeat consultation by Video,,,,,,,,,,,,,,,,,,,,,,
A013,CONSULTATIONS AND VISITS,ANAESTHESIA (01),Midwife or Aboriginal Midwife-Requested Anaesthesia Assessment (MAMRAA),,,,,,,,,,,,,,,,,,,,,,
A014,CONSULTATIONS AND VISITS,ANAESTHESIA (01),Midwife or Aboriginal Midwife-Requested Anaesthesia Assessment (MAMRAA),,,,,,,,,,,,,,,,,,,,,,
A015,CONSULTATIONS AND VISITS,ANAESTHESIA (01),Consultation,,,,,,,,,,,,,,,,,,,,,,
A016,CONSULTATIONS AND VISITS,ANAESTHESIA (01),Consultation,,,,,,,,,,,,,,,,,,,,,,
A020,CONSULTATIONS AND VISITS,DERMATOLOGY (02),Complex dermatology assessment,,,,,,,,,,,,,,,,,,,,,,
A021,CONSULTATIONS AND VISITS,DERMATOLOGY (02),Advanced Dermatology Consultation,,,,,,,,,,,,,,,,,,,,,,
A023,CONSULTATIONS AND VISITS,DERMATOLOGY (02),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A024,CONSULTATIONS AND VISITS,DERMATOLOGY (02),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A025,CONSULTATIONS AND VISITS,DERMATOLOGY (02),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A026,CONSULTATIONS AND VISITS,DERMATOLOGY (02),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A027,CONSULTATIONS AND VISITS,DERMATOLOGY (02),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A033,CONSULTATIONS AND VISITS,GENERAL SURGERY (03),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
A034,CONSULTATIONS AND VISITS,GENERAL SURGERY (03),GENERAL LISTINGS,,,,,,,,,,,,,,,,,,,,,,
