CODE,Cat1,Cat2,Cat3,Cat4,Description,$,T,P,P1
A001,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),Not applicable,,,23.75,,,
A002,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),Not applicable,,,,,,
A003,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),Not applicable,,,87.35,,,
A004,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),Not applicable,,,38.35,,,
A005,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),GENERAL LISTINGS,,,87.9,,,
A006,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),Special palliative care consultation,,,45.9,,,
A007,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),Not applicable,,,37.95,,,
A008,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),Mini assessment,,,13.05,,,
A010,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,Focused practice consultation by Video,,,87.9,,,
A011,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,Focused practice repeat consultation by Video,,,45.9,,,
A013,CONSULTATIONS AND VISITS,ANAESTHESIA(01),Midwife or Aboriginal Midwife-Requested Anaesthesia Assessment (MAMRAA),,,64.65,,,
A014,CONSULTATIONS AND VISITS,ANAESTHESIA(01),Midwife or Aboriginal Midwife-Requested Anaesthesia Assessment (MAMRAA),,,31.45,,,
A015,CONSULTATIONS AND VISITS,ANAESTHESIA(01),Consultation,,,109.7,,,
A016,CONSULTATIONS AND VISITS,ANAESTHESIA(01),Consultation,,,52.15,,,
A020,CONSULTATIONS AND VISITS,DERMATOLOGY(02),Complex dermatology assessment,,,60,,,
A021,CONSULTATIONS AND VISITS,DERMATOLOGY(02),Advanced Dermatology Consultation,,,164.9,,,
A023,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,,,43,,,
A024,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,,,21.9,,,
A025,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,,,72.15,,,
A026,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,,,44.45,,,
A027,CONSULTATIONS AND VISITS,DERMATOLOGY(02),GENERAL LISTINGS,,,147.3,,,
A033,CONSULTATIONS AND VISITS,GENERAL SURGERY(03),GENERAL LISTINGS,,,47.3,,,
A034,CONSULTATIONS AND VISITS,GENERAL SURGERY(03),GENERAL LISTINGS,,,28.6,,,
A035,CONSULTATIONS AND VISITS,GENERAL SURGERY(03),GENERAL LISTINGS,,,96.2,,,
A036,CONSULTATIONS AND VISITS,GENERAL SURGERY(03),GENERAL LISTINGS,,,64.1,,,
A043,CONSULTATIONS AND VISITS,NEUROSURGERY(04),GENERAL LISTINGS,,,58.25,,,
A044,CONSULTATIONS AND VISITS,NEUROSURGERY(04),GENERAL LISTINGS,,,30,,,
A045,CONSULTATIONS AND VISITS,NEUROSURGERY(04),GENERAL LISTINGS,,,130.75,,,
A046,CONSULTATIONS AND VISITS,NEUROSURGERY(04),GENERAL LISTINGS,,,58.25,,,
A050,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),Special community medicine consultation,,,144.75,,,
A051,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),Comprehensive community medicine consultation,,,70.9,,,
A053,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),Comprehensive community medicine consultation,,,79.85,,,
A054,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),Comprehensive community medicine consultation,,,61.25,,,
A055,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),General Listings,,,125.6,,,
A056,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),Comprehensive community medicine consultation,,,84.2,,,
A058,CONSULTATIONS AND VISITS,COMMUNITY MEDICINE(05),Comprehensive community medicine consultation,,,38.05,,,
A063,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY(06),GENERAL LISTINGS,,,42.55,,,
A064,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY(06),GENERAL LISTINGS,,,24.25,,,
A065,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY(06),GENERAL LISTINGS,,,83.85,,,
A066,CONSULTATIONS AND VISITS,ORTHOPAEDIC SURGERY(06),GENERAL LISTINGS,,,51.7,,,
A070,CONSULTATIONS AND VISITS,GERIATRICS(07),GENERAL LISTINGS,,,232.1,,,
A071,CONSULTATIONS AND VISITS,GERIATRICS(07),Not applicable,,,91.9,,,
A073,CONSULTATIONS AND VISITS,GERIATRICS(07),Not applicable,,,90.45,,,
A074,CONSULTATIONS AND VISITS,GERIATRICS(07),Not applicable,,,72.9,,,
A075,CONSULTATIONS AND VISITS,GERIATRICS(07),GENERAL LISTINGS,,,202.55,,,
A076,CONSULTATIONS AND VISITS,GERIATRICS(07),Not applicable,,,105.25,,,
A078,CONSULTATIONS AND VISITS,GERIATRICS(07),Not applicable,,,45.3,,,
A083,CONSULTATIONS AND VISITS,PLASTIC SURGERY(08),GENERAL LISTINGS,,,46.8,,,
A084,CONSULTATIONS AND VISITS,PLASTIC SURGERY(08),GENERAL LISTINGS,,,29.9,,,
A085,CONSULTATIONS AND VISITS,PLASTIC SURGERY(08),GENERAL LISTINGS,,,91.35,,,
A086,CONSULTATIONS AND VISITS,PLASTIC SURGERY(08),GENERAL LISTINGS,,,54,,,
A093,CONSULTATIONS AND VISITS,CARDIAC SURGERY(09),GENERAL LISTINGS,,,46.4,,,
A094,CONSULTATIONS AND VISITS,CARDIAC SURGERY(09),GENERAL LISTINGS,,,25.3,,,
A095,CONSULTATIONS AND VISITS,CARDIAC SURGERY(09),GENERAL LISTINGS,,,94.3,,,
A096,CONSULTATIONS AND VISITS,CARDIAC SURGERY(09),GENERAL LISTINGS,,,62.65,,,
A100,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),General/Family physician emergency department assessment,,,76.9,,,
A101,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,Limited Virtual Care Services,,,20,,,
A102,CONSULTATIONS AND VISITS,VIRTUAL CARE SERVICES,Limited Virtual Care Services,,,15,,,
A110,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),Periodic oculo-visual assessment,,,48.9,,,
A111,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE(11),Comprehensive critical care medicine consultation,,,76.3,,,
A112,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),Periodic oculo-visual assessment,,,48.9,,,
A113,CONSULTATIONS AND VISITS,NEUROLOGY(18),Complex neuromuscular assessment,,,93.95,,,
A114,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE(11),Comprehensive critical care medicine consultation,,,65.9,,,
A115,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL(00),Major eye examination,,,51.1,,,
A115,CONSULTATIONS AND VISITS,OPHTHALMOLOGY(23),Comprehensive critical care medicine consultation,,,51.1,,,
A116,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE(11),Comprehensive critical care medicine consultation,,,108.95,,,
A118,CONSULTATIONS AND VISITS,CRITICAL CARE MEDICINE(11),Comprehensive critical care medicine consultation,,,39.6,,,
A120,CONSULTATIONS AND VISITS,GASTROENTEROLOGY(41),GENERAL LISTINGS,,,18.85,,,
A120,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),GENERAL LISTINGS,,,18.85,,,
A130,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),Comprehensive internal medicine consultation,,,310.45,,,
A131,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),Comprehensive internal medicine consultation,,,70.9,,,
A133,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),Comprehensive internal medicine consultation,,,81.55,,,
A134,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),Comprehensive internal medicine consultation,,,61.25,,,
A135,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),Comprehensive internal medicine consultation,,,164.9,,,
A136,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),Comprehensive internal medicine consultation,,,105.25,,,
A138,CONSULTATIONS AND VISITS,INTERNAL AND OCCUPATIONAL MEDICINE(13),Comprehensive internal medicine consultation,,,38.05,,,
A150,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),Comprehensive endocrinology consultation,,,310.45,,,
A151,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),GENERAL LISTINGS,,,74.8,,,
A153,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),Comprehensive endocrinology consultation,,,84.6,,,
A154,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),Comprehensive endocrinology consultation,,,62.85,,,
A155,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),GENERAL LISTINGS,,,165.3,,,
A156,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),Comprehensive endocrinology consultation,,,105.25,,,
A158,CONSULTATIONS AND VISITS,ENDOCRINOLOGY & METABOLISM(15),Comprehensive endocrinology consultation,,,39.1,,,
A160,CONSULTATIONS AND VISITS,NEPHROLOGY(16),Comprehensive nephrology consultation,,,310.45,,,
A161,CONSULTATIONS AND VISITS,NEPHROLOGY(16),Comprehensive nephrology consultation,,,71.85,,,
A163,CONSULTATIONS AND VISITS,NEPHROLOGY(16),Comprehensive nephrology consultation,,,80.95,,,
A164,CONSULTATIONS AND VISITS,NEPHROLOGY(16),Comprehensive nephrology consultation,,,62.1,,,
A165,CONSULTATIONS AND VISITS,NEPHROLOGY(16),Comprehensive nephrology consultation,,,162.9,,,
A166,CONSULTATIONS AND VISITS,NEPHROLOGY(16),GENERAL LISTINGS,,,105.25,,,
A168,CONSULTATIONS AND VISITS,NEPHROLOGY(16),Comprehensive nephrology consultation,,,38.55,,,
A173,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),GENERAL LISTINGS,,,44.4,,,
A174,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),GENERAL LISTINGS,,,24.1,,,
A175,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),GENERAL LISTINGS,,,107.45,,,
A176,CONSULTATIONS AND VISITS,VASCULAR SURGERY(17),GENERAL LISTINGS,,,60,,,
A180,CONSULTATIONS AND VISITS,NEUROLOGY(18),Special neurology consultation,,,310.45,,,
A181,CONSULTATIONS AND VISITS,NEUROLOGY(18),Extended special neurology consultation,,,75.2,,,
A183,CONSULTATIONS AND VISITS,NEUROLOGY(18),Extended special neurology consultation,,,82.4,,,
A184,CONSULTATIONS AND VISITS,NEUROLOGY(18),Extended special neurology consultation,,,64.95,,,
A185,CONSULTATIONS AND VISITS,NEUROLOGY(18),Extended special neurology consultation,,,184.4,,,
A186,CONSULTATIONS AND VISITS,NEUROLOGY(18),Extended special neurology consultation,,,87.7,,,
A188,CONSULTATIONS AND VISITS,NEUROLOGY(18),Extended special neurology consultation,,,39.4,,,
A190,CONSULTATIONS AND VISITS,PSYCHIATRY(19),Special psychiatric consultation,,,310.45,,,
A191,CONSULTATIONS AND VISITS,PSYCHIATRY(19),Consultative interview on behalf of disturbed patient (including report),,,237.45,,,
A192,CONSULTATIONS AND VISITS,PSYCHIATRY(19),Consultative interview on behalf of disturbed patient (including report),,,237.45,,,
A193,CONSULTATIONS AND VISITS,PSYCHIATRY(19),Neurodevelopmental consultation,,,86.35,,,
A194,CONSULTATIONS AND VISITS,PSYCHIATRY(19),Neurodevelopmental consultation,,,41.15,,,
A195,CONSULTATIONS AND VISITS,PSYCHIATRY(19),GENERAL LISTINGS,,,222.5,,,
A196,CONSULTATIONS AND VISITS,PSYCHIATRY(19),Neurodevelopmental consultation,,,105.25,,,
A197,CONSULTATIONS AND VISITS,PSYCHIATRY(19),Consultative interview on behalf of disturbed patient (including report),,,237.45,,,
A198,CONSULTATIONS AND VISITS,PSYCHIATRY(19),Consultative interview on behalf of disturbed patient (including report),,,237.45,,,
A203,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),GENERAL LISTINGS,,,52.15,,,
A204,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),GENERAL LISTINGS,,,33.7,,,
A205,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),GENERAL LISTINGS,,,111.7,,,
A206,CONSULTATIONS AND VISITS,OBSTERICS AND GYNAECOLOGY(20),GENERAL LISTINGS,,,59.45,,,
A210,CONSULTATIONS AND VISITS,ANAESTHESIA(01),SPECIAL ANAESTHETIC CONSULTATION,,,163.2,,,
A215,CONSULTATIONS AND VISITS,ANAESTHESIA(01),SPECIAL ANAESTHETIC CONSULTATION,,,69.75,,,
A220,CONSULTATIONS AND VISITS,GENETICS(22),Special genetic consultation,,,310.45,,,
A221,CONSULTATIONS AND VISITS,GENETICS(22),Extended special genetic consultation,,,38.05,,,
