A063,Specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A064,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A065,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A066,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A070,"Consultation in association with special visit to a hospital in-patient, long-term care in-patient or emergency department patient",,,,,,,,,,,,,,,,,,,,,,,,
A071,Complex medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A073,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A074,Medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A075,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A076,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A078,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A083,Specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A084,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A085,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A086,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A113,Complex neuromuscular assessment,,,,,,,,,,,,,,,,,,,,,,,,
A115,Major eye examination (see page A8),,,,,,,,,,,,,,,,,,,,,,,,
A120,"Colonoscopy assessment, same day as colonoscopy",,,,,,,,,,,,,,,,,,,,,,,,
A120,"Colonoscopy assessment, same day as colonoscopy",,,,,,,,,,,,,,,,,,,,,,,,
A130,Comprehensive internal medicine consultation,,,,,,,,,,,,,,,,,,,,,,,,
A131,Complex medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A133,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A134,Medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A135,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A136,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A138,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A160,Comprehensive nephrology consultation,,,,,,,,,,,,,,,,,,,,,,,,
A161,Complex medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A163,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A164,Medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A165,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A166,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A168,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A173,Specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A174,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A175,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A176,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A180,Special neurology consultation,,,,,,,,,,,,,,,,,,,,,,,,
A181,Complex medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A183,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A184,Medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A185,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A186,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A188,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A190,Special psychiatric consultation,,,,,,,,,,,,,,,,,,,,,,,,
A191,"consultative interview with caregiver(s) of a patient at least 65 years of age, or a patient less than 65 years of age with a diagnosis of dementia",,,,,,,,,,,,,,,,,,,,,,,,
A192,"consultative interview with patient at least 65 years of age, or a patient less than 65 years of age with a diagnosis of dementia",,,,,,,,,,,,,,,,,,,,,,,,
A193,Specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A194,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A195,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A196,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A197,consultative interview with parent(s) or patient representative(s) of patient less than age 22,,,,,,,,,,,,,,,,,,,,,,,,
A198,consultative interview with patient less than age 22,,,,,,,,,,,,,,,,,,,,,,,,
A203,Specific assessment*,,,,,,,,,,,,,,,,,,,,,,,,
A204,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A205,Consultation*,,,,,,,,,,,,,,,,,,,,,,,,
A206,Repeat consultation*,,,,,,,,,,,,,,,,,,,,,,,,
A220,Special genetic consultation*,,,,,,,,,,,,,,,,,,,,,,,,
A221,Genetic minor assessment,,,,,,,,,,,,,,,,,,,,,,,,
A223,Extended special genetic consultation*,,,,,,,,,,,,,,,,,,,,,,,,
A225,Consultation*,,,,,,,,,,,,,,,,,,,,,,,,
A226,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A230,Orthoptic assessment,,,,,,,,,,,,,,,,,,,,,,,,
A231,Neuro-ophthalmology consultation,,,,,,,,,,,,,,,,,,,,,,,,
A233,Specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A234,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A235,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A236,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A237,aged 19 years and below,,,,,,,,,,,,,,,,,,,,,,,,
A239,aged 65 years and above,,,,,,,,,,,,,,,,,,,,,,,,
A243,Specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A244,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A245,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A246,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A250,Retinopathy of prematurity assessment,,,,,,,,,,,,,,,,,,,,,,,,
A251,Special ophthalmologic assessment,,,,,,,,,,,,,,,,,,,,,,,,
A252,Initial vision rehabilitation assessment,,,,,,,,,,,,,,,,,,,,,,,,
A253,Optometrist-Requested Assessment (ORA),,,,,,,,,,,,,,,,,,,,,,,,
A254,Follow-up vision rehabilitation assessment,,,,,,,,,,,,,,,,,,,,,,,,
A256,Special optometrist-requested assessment,,,,,,,,,,,,,,,,,,,,,,,,
A260,Special paediatric consultation,,,,,,,,,,,,,,,,,,,,,,,,
A261,Level 1 Paediatric assessment,,,,,,,,,,,,,,,,,,,,,,,,
A262,Level 2 Paediatric assessment,,,,,,,,,,,,,,,,,,,,,,,,
A263,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A264,Medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A265,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A266,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A268,Enhanced 18 month well baby visit (see General Preamble GP34),,,,,,,,,,,,,,,,,,,,,,,,
A275,Limited consultation,,,,,,,,,,,,,,,,,,,,,,,,
A283,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A284,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A285,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A286,Limited consultation,,,,,,,,,,,,,,,,,,,,,,,,
A310,Medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A311,Complex medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A313,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A315,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A316,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A318,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A325,Limited consultation,,,,,,,,,,,,,,,,,,,,,,,,
A330,"Radiology second opinion of CT study, per study",,,,,,,,,,,,,,,,,,,,,,,,
A331,Minor assessment,,,,,,,,,,,,,,,,,,,,,,,,
A332,"Radiology second opinion of MRI study, per study",,,,,,,,,,,,,,,,,,,,,,,,
A335,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A338,Minor assessment,,,,,,,,,,,,,,,,,,,,,,,,
A340,Medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A341,Complex medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A343,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A345,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A346,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A348,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A353,Specific assessment*,,,,,,,,,,,,,,,,,,,,,,,,
A354,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A355,Consultation*,,,,,,,,,,,,,,,,,,,,,,,,
A356,Repeat consultation*,,,,,,,,,,,,,,,,,,,,,,,,
A365,Special interventional radiological consultation,,,,,,,,,,,,,,,,,,,,,,,,
A375,Limited consultation,,,,,,,,,,,,,,,,,,,,,,,,
A384,,,,,,,,,,,,,,,,,,,,,,,,,
A385,Limited consultation,,,,,,,,,,,,,,,,,,,,,,,,
A395,Limited consultation,,,,,,,,,,,,,,,,,,,,,,,,
A411,Complex medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A413,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A414,Medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A415,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A416,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A418,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A425,Comprehensive physical medicine and rehabilitation consultation,,,,,,,,,,,,,,,,,,,,,,,,
A435,Limited consultation,,,,,,,,,,,,,,,,,,,,,,,,
A441,Complex medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A443,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A444,Medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A445,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A446,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A448,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A460,Comprehensive infectious disease consultation,,,,,,,,,,,,,,,,,,,,,,,,
A461,Complex medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A463,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A464,Medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A465,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A466,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A468,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A470,Comprehensive respiratory disease consultation,,,,,,,,,,,,,,,,,,,,,,,,
A471,Complex medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A473,Medical specific assessment,,,,,,,,,,,,,,,,,,,,,,,,
A474,Medical specific re-assessment,,,,,,,,,,,,,,,,,,,,,,,,
A475,Consultation,,,,,,,,,,,,,,,,,,,,,,,,
A476,Repeat consultation,,,,,,,,,,,,,,,,,,,,,,,,
A478,Partial assessment,,,,,,,,,,,,,,,,,,,,,,,,
A480,Complex rheumatology assessment,,,,,,,,,,,,,,,,,,,,,,,,
