code,name,description,fee,category,billing_constraints,page_number,section,notes
K131,adult age,adult age,18.0,Other,[],36,Code Description,
K132,adult,adult,65.0,Other,[],36,Code Description,
K269,K269,K269,12.0,Other,[],36,Code Description,
K267,K267,K267,2.0,Other,[],36,Code Description,
W010,to that patient within the previous,to that patient within the previous,11.0,Other,[],66,MONTHLY MANAGEMENT OF A NURSING HOME OR HOME FOR THE AGED PATIENT,
B960,is,is,2.0,Other,[],89,Weekdays Evenings,
B990,is,is,10.0,Other,[],89,Weekdays Evenings,
P100,February,February,14.0,Other,[],114,GENERAL PREAMBLE,
P101,Amd,Amd,12.0,Other,[],115,GENERAL PREAMBLE,
P102,February,February,14.0,Other,[],116,SPECIFIC ELEMENTS,
P103,Amd,Amd,12.0,Other,[],117,INTENSIVE OR CORONARY CARE UNIT PREMIUM,
P104,February,February,14.0,Other,[],118,OTHER PREMIUMS,
P105,Amd,Amd,12.0,Other,[],119,AFTER HOURS SPECIAL VISIT PREMIUMS FOR DIAGNOSTIC SERVICES,
P106,February,February,14.0,Other,[],120,OTHER PREMIUMS,
P107,Amd,Amd,12.0,Other,[],121,AFTER HOURS SPECIAL VISIT PREMIUMS,
P108,February,February,14.0,Other,[],122,3.After hours premiums in excess of the maximums listed in the After Hours Premium Table are,
E420,Trauma premium ...................................................... add,Trauma premium ...................................................... add,50.0,Other,[],123,OTHER PREMIUMS,
P109,Amd,Amd,12.0,Other,[],123,OTHER PREMIUMS,
P110,February,February,14.0,Other,[],124,EMERGENCY DEPARTMENT ALTERNATIVE FUNDING AGREEMENTS,
P111,Amd,Amd,12.0,Other,[],125,DIAGNOSTIC PROCEDURES ORDERED BY PERSONS OTHER THAN PHYSICIANS,
P112,February,February,14.0,Other,[],126,NOT ALLOCATED,
A005,Consultation............................................................................,Consultation............................................................................,87.9,Consultation,[],129,GENERAL LISTINGS,
A911,Special family and general practice consultation....................,Special family and general practice consultation....................,150.7,Consultation,[],129,GENERAL LISTINGS,
A912,Comprehensive family and general practice consultation ......,Comprehensive family and general practice consultation ......,226.05,Consultation,[],129,GENERAL LISTINGS,
A945,Special palliative care consultation.........................................,Special palliative care consultation.........................................,159.2,Consultation,[],129,GENERAL LISTINGS,
K023,occurs,occurs,50.0,Other,[],129,GENERAL LISTINGS,
A905,Limited consultation................................................................,Limited consultation................................................................,73.25,Consultation,[],129,GENERAL LISTINGS,
A006,Repeat consultation................................................................,Repeat consultation................................................................,45.9,Consultation,[],129,GENERAL LISTINGS,
A003,General assessment...............................................................,General assessment...............................................................,87.35,Assessment,[],130,Note:,
A001,Minor assess ment............ .... ....... ............................................,Minor assess ment............ .... ....... ............................................,23.75,Other,[],130,Note:,
A007,Intermedia te a ssessm ent or well ba by ca re ........ ................. ..,Intermedia te a ssessm ent or well ba by ca re ........ ................. ..,37.95,Other,[],130,Note:,
A002,Enhanced,Enhanced,18.0,Other,[],130,Note:,
A008,Mini assessment.....................................................................,Mini assessment.....................................................................,13.05,Assessment,[],130,Note:,
K017,child ........................................................................................,child ........................................................................................,45.25,Other,[],130,Note:,
K130,adolescent ..............................................................................,adolescent ..............................................................................,77.2,Other,[],130,Note:,
K131,adult age,adult age,18.0,Other,[],130,Note:,
K132,adult,adult,65.0,Other,[],130,Note:,
A900,Complex house call assessment.............................................,Complex house call assessment.............................................,54.5,Assessment,[],132,CONSULTATIONS AND VISITS,
A771,Certification of death...............................................................,Certification of death...............................................................,20.6,Other,[],133,CONSULTATIONS AND VISITS,
A772,Certification of stillbirth............................................................,Certification of stillbirth............................................................,20.6,Other,[],134,CONSULTATIONS AND VISITS,
K133,is limited to one per patient per,is limited to one per patient per,12.0,Other,[],135,CONSULTATIONS AND VISITS,
K132,is eligible for payment per patient per physician per,is eligible for payment per patient per physician per,12.0,Other,[],135,CONSULTATIONS AND VISITS,
A917,Sport medicine FPA ................................................................,Sport medicine FPA ................................................................,37.95,Other,[],135,CONSULTATIONS AND VISITS,
A927,Allergy FPA .............................................................................,Allergy FPA .............................................................................,37.95,Other,[],135,CONSULTATIONS AND VISITS,
A937,Pain management FPA...........................................................,Pain management FPA...........................................................,37.95,Other,[],135,CONSULTATIONS AND VISITS,
A947,Sleep medicine FPA................................................................,Sleep medicine FPA................................................................,37.95,Other,[],135,CONSULTATIONS AND VISITS,
A957,Addiction medicine FPA..........................................................,Addiction medicine FPA..........................................................,37.95,Other,[],135,CONSULTATIONS AND VISITS,
A967,Care of the elderly FPA...........................................................,Care of the elderly FPA...........................................................,37.95,Other,[],135,CONSULTATIONS AND VISITS,
A110,aged,aged,19.0,Other,[],136,CONSULTATIONS AND VISITS,
A112,aged,aged,65.0,Other,[],136,CONSULTATIONS AND VISITS,
A115,Major eye examination............................................................,Major eye examination............................................................,51.1,Examination,[],136,CONSULTATIONS AND VISITS,
C005,Consultation............................................................................,Consultation............................................................................,87.9,Consultation,[],138,CONSULTATIONS AND VISITS,
A945,.............................................................,.............................................................,159.2,Other,[],138,CONSULTATIONS AND VISITS,
C905,Limited consultation................................................................,Limited consultation................................................................,74.25,Consultation,[],138,CONSULTATIONS AND VISITS,
C006,Repeat consultation................................................................,Repeat consultation................................................................,45.9,Consultation,[],138,CONSULTATIONS AND VISITS,
C003,General assessment...............................................................,General assessment...............................................................,87.35,Assessment,[],138,CONSULTATIONS AND VISITS,
A933,..............................................................................,..............................................................................,79.9,Other,[],138,CONSULTATIONS AND VISITS,
A777,.........................................,.........................................,37.95,Other,[],138,CONSULTATIONS AND VISITS,
A771,A771,A771,20.6,Other,[],138,CONSULTATIONS AND VISITS,
A772,A772,A772,20.6,Other,[],138,CONSULTATIONS AND VISITS,
C008,Concurrent care..........................................................per visit,Concurrent care..........................................................per visit,34.1,Other,[],139,CONSULTATIONS AND VISITS,
C010,Supportive care .......................................................... per visit,Supportive care .......................................................... per visit,34.1,Other,[],139,CONSULTATIONS AND VISITS,
H065,Consultation in Emergency Medicine .....................................,Consultation in Emergency Medicine .....................................,81.25,Consultation,[],141,Note:,
H102,Comprehensive assessment and care ...................................,Comprehensive assessment and care ...................................,43.05,Assessment,[],141,Note:,
H103,Multiple systems assessment.................................................,Multiple systems assessment.................................................,40.0,Assessment,[],141,Note:,
H101,Minor assessment...................................................................,Minor assessment...................................................................,17.1,Assessment,[],141,Note:,
H132,Comprehensive assessment and care ...................................,Comprehensive assessment and care ...................................,52.55,Assessment,[],141,Note:,
H133,Multiple systems assessment.................................................,Multiple systems assessment.................................................,47.45,Assessment,[],141,Note:,
H131,Minor assessment...................................................................,Minor assessment...................................................................,20.95,Assessment,[],141,Note:,
H152,Comprehensive assessment and care ...................................,Comprehensive assessment and care ...................................,66.15,Assessment,[],141,Note:,
H153,Multiple systems assessment.................................................,Multiple systems assessment.................................................,58.9,Assessment,[],141,Note:,
H151,Minor assessment...................................................................,Minor assessment...................................................................,26.35,Assessment,[],141,Note:,
H122,Comprehensive assessment and care ...................................,Comprehensive assessment and care ...................................,76.95,Assessment,[],141,Note:,
